count,density,presence,elev,slope,area,distance,pct.cover
0,0.0000,0,311,0.07,366,448.6,68
0,0.0000,0,294,0.05,383,319.6,47
5,0.0033,1,619,0.12,1504,125.8,65
18,0.0162,1,663,0.11,1111,238.5,87
8,0.0098,1,344,0.07,820,426.7,57
17,0.0137,1,288,0.05,1241,289.8,81
0,0.0000,0,171,0.04,778,401.2,17
0,0.0000,0,159,0.03,729,309.8,44
10,0.0092,1,560,0.14,1083,207.1,46
0,0.0000,0,224,0.03,530,305.8,55
0,0.0000,0,464,0.07,501,185.9,16
0,0.0000,0,351,0.06,252,267.5,78
0,0.0000,0,235,0.05,646,173.1,24
0,0.0000,0,515,0.09,459,256.3,22
13,0.0119,1,305,0.06,1097,330,13
4,0.0045,1,242,0.05,882,395.8,13
0,0.0000,0,315,0.07,728,333.7,40
0,0.0000,0,204,0.04,1094,196.9,67
0,0.0000,0,217,0.05,565,434.5,18
0,0.0000,0,96,0.02,919,182,51
0,0.0000,0,194,0.04,473,337.7,66
47,0.0302,1,650,0.13,1556,348.7,16
22,0.0154,1,381,0.06,1430,286,57
14,0.0100,1,305,0.06,1407,247.7,83
0,0.0000,0,365,0.07,786,245.4,55
0,0.0000,0,246,0.07,1116,143.3,78
17,0.0122,1,375,0.08,1397,235.2,58
13,0.0131,1,500,0.11,990,346,63
0,0.0000,0,385,0.08,544,309.4,71
27,0.0234,1,138,0.03,1154,437.7,90
13,0.0093,1,568,0.1,1391,253.9,42
39,0.0271,1,531,0.11,1440,416.9,81
0,0.0000,0,195,0.05,633,207.6,22
28,0.0199,1,365,0.06,1404,320,79
0,0.0000,0,238,0.06,1103,196.5,55
4,0.0040,1,283,0.06,1004,320.5,83
2,0.0017,1,181,0.04,1143,218.5,26
20,0.0144,1,265,0.04,1390,322.3,61
0,0.0000,0,275,0.06,475,299.6,88
0,0.0000,0,285,0.06,736,278.9,77
0,0.0000,0,550,0.13,617,247.6,37
17,0.0157,1,856,0.13,1083,225,73
0,0.0000,0,361,0.09,998,258.4,35
17,0.0145,1,170,0.05,1172,353.3,16
2,0.0021,1,299,0.07,974,265.7,47
23,0.0224,1,683,0.12,1027,366.2,66
30,0.0218,1,416,0.11,1375,359.1,66
9,0.0072,1,398,0.08,1257,227.4,27
25,0.0232,1,617,0.08,1078,430.3,61
13,0.0097,1,547,0.1,1336,160,87
0,0.0000,0,158,0.03,854,369.2,43
4,0.0042,1,334,0.08,957,294.8,19
21,0.0157,1,349,0.08,1340,269,91
0,0.0000,0,256,0.05,992,215.2,74
0,0.0000,0,308,0.11,991,36.1,55
12,0.0089,1,568,0.08,1346,274.2,15
